	at sun.net.www.protocol.http.HttpURLConnection$6.run(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection$6.run(Unknown Source) ~[?:1.8.0_45]
	at java.security.AccessController.doPrivileged(Native Method) ~[?:1.8.0_45]
	at java.security.AccessController.doPrivileged(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection.plainConnect(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection.connect(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection.getInputStream0(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection.access$200(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection$9.run(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection$9.run(Unknown Source) ~[?:1.8.0_45]
	at java.security.AccessController.doPrivileged(Native Method) ~[?:1.8.0_45]
	at java.security.AccessController.doPrivileged(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection.getInputStream(Unknown Source) ~[?:1.8.0_45]
	at sun.net.www.protocol.http.HttpURLConnection.getHeaderField(Unknown Source) ~[?:1.8.0_45]
	at java.net.URLConnection.getHeaderFieldLong(Unknown Source) ~[?:1.8.0_45]
	at java.net.URLConnection.getContentLengthLong(Unknown Source) ~[?:1.8.0_45]
	at java.net.URLConnection.getContentLength(Unknown Source) ~[?:1.8.0_45]
	at codechicken.core.launch.DepLoader$DepLoadInst.download(DepLoader.java:340) ~[DepLoader$DepLoadInst.class:?]
	... 25 more
[15:13:58] [main/ERROR] [LaunchWrapper]: Unable to launch
java.lang.RuntimeException: A download error occured
	at codechicken.core.launch.DepLoader$DepLoadInst.download(DepLoader.java:354) ~[DepLoader$DepLoadInst.class:?]
	at codechicken.core.launch.DepLoader$DepLoadInst.load(DepLoader.java:480) ~[DepLoader$DepLoadInst.class:?]
	at codechicken.core.launch.DepLoader$DepLoadInst.loadDeps(DepLoader.java:466) ~[DepLoader$DepLoadInst.class:?]
